Timestamp,Elapsed,Cathode_V,Cathode_I,Anode_V,Anode_I,Grid_V,Grid_I
15:19:17,68.4,0.0,0.0,0.0,0.0,0.0,0.0
15:19:18,69.42,0.0,0.0,0.0,0.0,0.0,0.0
15:19:19,70.2,0.0,0.0,0.0,0.0,0.0,0.0
15:19:20,70.98,0.0,0.0,0.0,0.0,0.0,0.0
15:19:21,71.74,0.0,0.0,0.0,0.0,0.0,0.0
15:19:22,72.51,0.0,0.0,0.0,0.0,0.0,0.0
15:19:22,73.33,0.0,0.0,0.0,0.0,0.0,0.0
15:19:23,74.12,0.0,0.0,0.0,0.0,0.0,0.0
15:19:24,74.94,0.0,0.0,0.0,0.0,0.0,0.0
15:19:25,75.75,0.0,0.0,0.0,0.0,0.0,0.0
15:19:26,76.56,0.0,0.0,0.0,0.0,0.0,0.0
15:19:26,77.33,0.0,0.0,0.0,0.0,0.0,0.0
15:19:27,78.1,0.0,0.0,0.0,0.0,0.0,0.0
15:19:28,78.85,0.0,0.0,0.0,0.0,0.0,0.0
15:19:29,79.6,0.0,0.0,0.0,0.0,0.0,0.0
15:19:29,80.38,0.0,0.0,0.0,0.0,0.0,0.0
15:19:30,81.15,0.0,0.0,0.0,0.0,0.0,0.0
15:19:31,81.91,0.0,0.0,0.0,0.0,0.0,0.0
15:19:32,82.7,0.0,0.0,0.0,0.0,0.0,0.0
15:19:33,83.48,0.0,0.0,0.0,0.0,0.0,0.0
15:19:33,84.26,0.0,0.0,0.0,0.0,0.0,0.0
15:19:34,85.04,0.0,0.0,0.0,0.0,0.0,0.0
15:19:35,85.84,0.0,0.0,0.0,0.0,0.0,0.0
15:19:36,86.6,0.0,0.0,0.0,0.0,0.0,0.0
15:19:36,87.38,0.0,0.0,0.0,0.0,0.0,0.0
15:19:37,88.14,0.0,0.0,0.0,0.0,0.0,0.0
15:19:38,88.9,0.0,0.0,0.0,0.0,0.0,0.0
15:19:39,89.67,0.0,0.0,0.0,0.0,0.0,0.0
15:19:40,90.47,0.0,0.0,0.0,0.0,0.0,0.0
15:19:40,91.25,0.0,0.0,0.0,0.0,0.0,0.0
15:19:41,92.01,0.0,0.0,0.0,0.0,0.0,0.0
15:19:42,92.78,0.0,0.0,0.0,0.0,0.0,0.0
15:19:43,93.54,0.0,0.0,0.0,0.0,0.0,0.0
15:19:43,94.3,0.0,0.0,0.0,0.0,0.0,0.0
15:19:44,95.06,0.0,0.0,0.0,0.0,0.0,0.0
15:19:45,95.85,0.0,0.0,0.0,0.0,0.0,0.0
15:19:46,96.61,0.0,0.0,0.0,0.0,0.0,0.0
15:19:46,97.38,0.0,0.0,0.0,0.0,0.0,0.0
15:19:47,98.2,0.0,0.0,0.0,0.0,0.0,0.0
15:19:48,98.97,0.0,0.0,0.0,0.0,0.0,0.0
15:19:49,99.73,0.0,0.0,0.0,0.0,0.0,0.0
15:19:50,100.46,0.0,0.0,0.0,0.0,0.0,0.0
15:19:50,100.68,0.0,0.0,0.0,0.0,0.0,0.0
15:19:51,101.45,0.0,0.0,0.0,0.0,0.0,0.0
15:19:51,102.22,0.0,0.0,0.0,0.0,0.0,0.0
15:19:52,103.0,0.0,0.0,0.0,0.0,0.0,0.0
