# HV Ramp Log
# Start time: 2026-02-13T09:59:13
# Operator(s): Paolo Soffitta, Hemanth Manikantan
# Setup:  WGW15-G6, ArDME8020, 160-40ccpm, 1.1 bar
#
timestamp,step,channel,checked,Vgrid,Vanode,Vcathode,Note
2026-02-13T09:59:46,01,CH1,True,0,0,50,
2026-02-13T09:59:51,01,CH2,True,0,0,50,
2026-02-13T09:59:52,01,CH3,True,0,0,50,
2026-02-13T09:59:56,02,CH1,True,50,50,100,
2026-02-13T09:59:58,02,CH2,True,50,50,100,
2026-02-13T10:00:01,02,CH3,True,50,50,100,
2026-02-13T10:00:10,03,CH1,True,100,100,150,
2026-02-13T10:00:13,03,CH2,True,100,100,150,
2026-02-13T10:00:17,03,CH3,True,100,100,150,
2026-02-13T10:00:22,04,CH1,True,150,150,200,
2026-02-13T10:00:26,04,CH2,True,150,150,200,
2026-02-13T10:00:29,04,CH3,True,150,150,200,
2026-02-13T10:00:33,05,CH1,True,200,200,250,
2026-02-13T10:00:37,05,CH2,True,200,200,250,
2026-02-13T10:00:40,05,CH3,True,200,200,250,
2026-02-13T10:00:47,06,CH1,True,250,250,300,
2026-02-13T10:00:50,06,CH2,True,250,250,300,
2026-02-13T10:00:54,06,CH3,True,250,250,300,
2026-02-13T10:00:59,07,CH1,True,275,275,325,
2026-02-13T10:01:03,07,CH2,True,275,275,325,
2026-02-13T10:01:07,07,CH3,True,275,275,325,
2026-02-13T10:01:14,08,CH1,True,300,300,350,
2026-02-13T10:01:16,08,CH2,True,300,300,350,
2026-02-13T10:01:20,08,CH3,True,300,300,350,
2026-02-13T10:01:26,09,CH1,True,325,325,375,
2026-02-13T10:01:30,09,CH2,True,325,325,375,
2026-02-13T10:01:35,09,CH3,True,325,325,375,
2026-02-13T10:01:38,10,CH1,True,325,325,425,
2026-02-13T10:01:46,11,CH1,True,325,325,475,
2026-02-13T10:01:48,12,CH1,True,325,325,525,
2026-02-13T10:01:51,13,CH1,True,325,325,575,
2026-02-13T10:01:56,14,CH1,True,325,325,625,
2026-02-13T10:01:58,15,CH1,True,325,325,675,
2026-02-13T10:02:03,16,CH1,True,325,325,725,
2026-02-13T10:02:04,17,CH1,True,325,325,775,
2026-02-13T10:02:08,18,CH1,True,325,325,825,
2026-02-13T10:02:11,19,CH1,True,325,325,875,
2026-02-13T10:02:12,19,CH1,False,325,325,875,
2026-02-13T10:02:15,19,CH1,True,325,325,875,
2026-02-13T10:02:16,20,CH1,True,325,325,925,
2026-02-13T10:02:21,21,CH1,True,325,325,975,
2026-02-13T10:02:26,22,CH1,True,325,325,1025,
2026-02-13T10:02:27,23,CH1,True,325,325,1075,
2026-02-13T10:02:32,24,CH1,True,325,325,1125,
2026-02-13T10:02:36,25,CH1,True,325,325,1175,
2026-02-13T10:02:39,26,CH1,True,325,325,1225,
2026-02-13T10:02:43,27,CH1,True,325,325,1275,
2026-02-13T10:02:46,28,CH1,True,325,325,1325,
2026-02-13T10:02:52,29,CH2,True,335,335,1325,
2026-02-13T10:02:54,29,CH3,True,335,335,1325,
2026-02-13T10:02:59,30,CH2,True,345,345,1325,
2026-02-13T10:03:01,30,CH3,True,345,345,1325,
2026-02-13T10:03:05,31,CH2,True,355,355,1325,
2026-02-13T10:03:08,31,CH3,True,355,355,1325,
2026-02-13T10:03:13,32,CH2,True,365,365,1325,
2026-02-13T10:03:15,32,CH3,True,365,365,1325,
2026-02-13T10:03:36,33,CH2,True,375,375,1325,
2026-02-13T10:03:39,33,CH3,True,375,375,1325,
2026-02-13T10:03:43,34,CH2,True,385,385,1325,
2026-02-13T10:03:48,34,CH3,True,385,385,1325,
2026-02-13T10:03:52,35,CH2,True,395,395,1325,
2026-02-13T10:03:57,35,CH3,True,395,395,1325,
2026-02-13T10:04:03,36,CH2,True,405,405,1325,
2026-02-13T10:04:06,36,CH3,True,405,405,1325,
2026-02-13T10:04:15,37,CH2,True,410,410,1325,
2026-02-13T10:04:17,37,CH3,True,410,410,1325,
2026-02-13T10:04:23,38,CH2,True,410,420,1375,
2026-02-13T10:04:27,39,CH2,True,410,430,1425,
2026-02-13T10:05:01,38,CH1,True,410,420,1375,
2026-02-13T10:05:05,39,CH1,True,410,430,1425,
2026-02-13T10:05:38,40,CH1,True,410,440,1475,
2026-02-13T10:05:43,40,CH2,True,410,440,1475,
2026-02-13T10:05:47,41,CH1,True,410,450,1525,
2026-02-13T10:05:55,41,CH2,True,410,450,1525,
2026-02-13T10:05:58,42,CH1,True,410,460,1575,
2026-02-13T10:06:03,42,CH2,True,410,460,1575,
2026-02-13T10:06:09,43,CH1,True,410,460,1625,
2026-02-13T10:06:13,44,CH1,True,410,460,1675,
2026-02-13T10:06:17,45,CH1,True,410,460,1725,
2026-02-13T10:06:21,46,CH1,True,410,460,1775,
2026-02-13T10:06:26,47,CH1,True,410,460,1825,
2026-02-13T10:06:30,48,CH1,True,410,460,1875,
2026-02-13T10:06:34,49,CH1,True,410,460,1925,
2026-02-13T10:06:39,50,CH1,True,410,460,1975,
2026-02-13T10:06:41,51,CH1,True,410,460,2025,
2026-02-13T10:06:45,52,CH1,True,410,460,2075,
2026-02-13T10:06:50,53,CH1,True,410,460,2125,
2026-02-13T10:07:19,54,CH1,True,410,460,2175,
2026-02-13T10:07:22,55,CH1,True,410,460,2225,
2026-02-13T10:07:28,56,CH1,True,410,460,2275,
2026-02-13T10:07:30,57,CH1,True,410,460,2325,
2026-02-13T10:07:33,58,CH1,True,410,460,2375,
2026-02-13T10:07:36,59,CH1,True,410,460,2425,
2026-02-13T10:07:41,60,CH1,True,410,470,2470,
2026-02-13T10:07:45,60,CH2,True,410,470,2470,
2026-02-13T10:07:49,61,CH1,True,410,480,2480,
2026-02-13T10:07:54,61,CH2,True,410,480,2480,
2026-02-13T10:07:59,62,CH1,True,410,490,2490,
2026-02-13T10:08:04,62,CH2,True,410,490,2490,
2026-02-13T10:08:10,63,CH1,True,410,510,2510,
2026-02-13T10:08:15,63,CH2,True,410,510,2510,
2026-02-13T11:36:37,09,CH3,False,325,325,375,
